"Institution","State","Link","Roster","Conference"
"Point Park University","Pennsylvania","http://www.pointparksports.com/sport/0/15","http://www.pointparksports.com/roster/0/15","River States Conference"
"West Virginia University Institute of Technology","West Virginia","https://goldenbearathletics.com/index.aspx?path=wvball","https://goldenbearathletics.com/roster.aspx?path=wvball","River States Conference"
"Indiana University East","Indiana","https://www.iueredwolves.com/sport/0/8","https://www.iueredwolves.com/roster/0/8","River States Conference"
"University of Rio Grande","Ohio","http://www.rioredstorm.com/sport/0/11.php","http://www.rioredstorm.com/roster/0/11.php","River States Conference"
"Ohio Christian University","Ohio","http://www.ocutrailblazers.com/sport/0/14","http://www.ocutrailblazers.com/roster/0/14","River States Conference"
"Carlow University","Pennsylvania","https://www.carlow.edu/Volleyball.aspx","https://www.carlow.edu/Roster_V.aspx","River States Conference"
"Brescia University","Kentucky","http://www.bresciabearcats.com/sport/0/15.php","http://www.bresciabearcats.com/roster/0/15.php?skipSplash=1","River States Conference"
"Indiana University Kokomo","Indiana","https://iukcougars.com/sports/volleyball?path=vball","https://iukcougars.com/sports/vball/roster","River States Conference"
"Indiana University Southeast","Indiana","http://www.iusathletics.com/sport/0/7","http://www.iusathletics.com/roster/0/7","River States Conference"
"Asbury University","Kentucky","https://asburyeagles.com/index.aspx?path=wvball","https://asburyeagles.com/sports/womens-volleyball/roster","River States Conference"
"Midway University","Kentucky","http://www.gomidwayeagles.com/sport/0/8.php","http://www.gomidwayeagles.com/roster/0/8.php?skipSplash=1","River States Conference"
"Cincinnati Christian University","Ohio","http://www.ocutrailblazers.com/sport/0/14","http://www.ocutrailblazers.com/roster/0/14","River States Conference"
"Milligan College","Tennessee","https://milliganbuffs.com/sports/wvball/index","https://milliganbuffs.com/sports/wvball/2021-22/roster","Appalachian Athletic Conference"
"Union College","Kentucky","http://www.gounionbulldogs.com/sport/0/3","https://www.gounionbulldogs.com/roster/19/3","Appalachian Athletic Conference"
"Bryan College","Tennessee","http://www.bryanlions.com/sport/0/12.php","http://www.bryanlions.com/roster/0/12.php","Appalachian Athletic Conference"
"Montreat College","North Carolina","https://montreatcavaliers.com/sports/womens-volleyball?path=wvball","https://montreatcavaliers.com/sports/womens-volleyball/roster?path=wvball","Appalachian Athletic Conference"
"Bluefield College","Virginia","https://bcrams.com/index.aspx?path=wvball","https://bcrams.com/sports/womens-volleyball/roster","Appalachian Athletic Conference"
"Kentucky Christian University","Kentucky","http://www.kcuknights.com/sport/0/7","http://www.kcuknights.com/roster/0/7","Appalachian Athletic Conference"
"Tennessee Wesleyan University","Tennessee","http://www.twcbulldogs.com/sport/0/16.php","http://www.twcbulldogs.com/roster/0/16.php","Appalachian Athletic Conference"
"Reinhardt University","Georgia","https://reinhardteagles.com/sports/wvball/index","https://reinhardteagles.com/sports/wvball/2021-22/roster","Appalachian Athletic Conference"
"Point University","Georgia","https://www.pointskyhawks.com/sports/wvball/index","https://www.pointskyhawks.com/sports/wvball/2021-22/roster","Appalachian Athletic Conference"
"Truett McConnell University","Georgia","https://tmbears.com/index.aspx?path=wvball","https://tmbears.com/sports/womens-volleyball/roster","Appalachian Athletic Conference"
"Columbia International University","South Carolina","https://www.ciurams.com/index.aspx?path=wvball","https://www.ciurams.com/sports/womens-volleyball/roster","Appalachian Athletic Conference"
"St. Andrews University","North Carolina","http://www.sauknights.com/sport/volleyball","http://www.sauknights.com/sport/volleyball/2021-22/roster","Appalachian Athletic Conference"
"Allen University","South Carolina","http://www.auyellowjackets.com/sport/0/11.php","http://www.auyellowjackets.com/roster/0/11.php","Appalachian Athletic Conference"
"Brenau University","Georgia","http://www.brenautigers.com/sport/0/6.php","http://www.brenautigers.com/roster/0/6.php","Appalachian Athletic Conference"
"Columbia College","South Carolina","https://www.gokoalas.com/sports/wvball/index","https://www.gokoalas.com/sports/wvball/2021-22/roster","Appalachian Athletic Conference"
