Player,Institution,State,Conference,Division,Performance,Date,Photo
Nataly García,Southern Illinois University,Illinois,Missouri Valley Conference,NCAA DI,22 kills and 10 digs and 6 blocks,9/3/21,John Lock
Paola Santiago,University of Illinois at Chicago,Illinois,Horizon League,NCAA DI,17 kills and 21 digs,9/4/21,Stave Woltmann
Andrea Fuentes,Wake Forest University,North Carolina,Atlantic Coast Conference,NCAA DI,57 assists and 11 digs and 3 blocks,9/3/21,Wake Forest University Athletics
Paula Cerame,Indiana University,Indiana,Big Ten Conference,NCAA DI,27 digs and 5 assists,9/4/21,Ethan Levy
Sharlissa de Jesús,The Citadel,South Carolina,Southern Conference,NCAA DI,25 kills and 14 digs and 5 aces,9/7/21,The Citadel Sports
Gina Rivera Ortiz,Tennessee State University,Tennessee,Ohio Valley Conference,NCAA DI,24 digs and 10 assists,9/4/21,Tennessee State University Athletics
Sofía García Guerrios,Tennessee State University,Tennessee,Ohio Valley Conference,NCAA DI,50 assists and 14 digs,8/27/21,Tennessee State University Athletics
Valeria Otero,Delaware State University,Delaware,Mid-Eastern Athletic Conference,NCAA DI,16 kills and 22 digs,9/3/21,Rodney Adams
Alejandra Pérez,Stetson University,Florida,Atlantic Sun Conference,NCAA DI,25 digs,8/27/21,Steve Simoneau
Paola Soto Burgos,American International College,Massachusetts,Northeast-10 Conference,NCAA DII,18 kills and 11 digs,9/4/21,RJB Sports
Claudia Rivera,University of Tampa,Florida,Sunshine State Conference,NCAA DII,30 digs,9/4/21,University of Tampa Athletics
Neyshlian Román Concepción,Goldey-Beacom College,Delaware,Central Atlantic Collegiate Conference,NCAA DII,34 digs,9/4/21,Goldey-Beacom Athletics
Patricia Pantoja,Lander University,South Carolina,Peach Belt Conference,NCAA DII,36 digs,9/3/21,Lander University
Adriana Rodríguez,North Park University,Illinois,College Conference of Illinois and Wisconsin,NCAA DIII,15 kills and 4 aces in 3 sets,9/3/21,North Park University Athletics
Karla Rodríguez,Columbia International University,South Carolina,Appalachian Athletic Conference,NAIA,25 digs and 5 assists,8/28/21,Columbia International University
Seliann Concepción,College of Coastal Georgia,Georgia,The Sun Conference,NAIA,24 kills and 17 digs,8/25/21,Coastal Georgia Athletics
Salma González,Campbellsville University,Kentucky,Mid-South Conference,NAIA,27 digs and 5 assists,8/28/21,Campbellsville University Athletics
Emileishka de Jesús,Indiana University Northwest,Indiana,Chicagoland Collegiate Athletic Conference,NAIA,16 kills and 19 digs,9/2/21,Indiana University Northwest
