Player,Hometown,Institution,State,Conference,Division,Performance,Actuación,Date,Photo,Notes
Cristal Paulino,San Juan,St. Francis College,New York,Northeast Conference,NCAA DI,8 blocks,8 bloqueos,8/27/21,St. Francis College,
Valeria Santos,San Germán,Florida International University,Florida,Conference USA,NCAA DI,21 digs in 3 sets,21 defensas en 3 sets,9/4/21,Michael Berlfein,
Marcelle Báez Carlo,Guaynabo,University of Tennessee at Chattanooga,Tennessee,Southern Conference,NCAA DI,11 blocks and 7 kills,11 bloqueos y 7 remates,9/4/21,University of Tennessee at Chattanooga,
Dariana Hollingsworth Santana,San Juan,University of North Florida,Florida,Atlantic Sun Conference,NCAA DI,16 kills and 11 digs,16 remates y 11 defensas,9/9/21,Todd Drexler,
Nicole Rodríguez,San Juan,Norfolk State University,Virginia,Mid-Eastern Athletic Conference,NCAA DI,24 digs and 7 assists,24 defensas y 7 asistencias,9/10/21,Nick Sutton / Kinetic Stills,
Ariana Pagán,Isabela,Stephen F. Austin State University,Texas,Southland Conference,NCAA DI,16 kills and 11 digs,16 remates y 11 defensas,9/10/21,SFA Athletics,
Wildalys Soto,Patillas,Saint Peter's University,New Jersey,Metro Atlantic Athletic Conference,NCAA DI,36 assists and 20 digs,36 asistencias y 20 defensas,9/11/21,Beth Lochner,
Alanis Alvarado,Bayamón,Saint Peter's University,New Jersey,Metro Atlantic Athletic Conference,NCAA DI,15 kills and 12 digs,15 remates y 12 defensas,9/11/21,Beth Lochner,
Melanie Feliciano,Ponce,University of Evansville,Indiana,Missouri Valley Conference,NCAA DI,20 kills and 15 digs,20 remates y 15 defensas,9/11/21,University of Evansville,
Alondra Vázquez,Toa Alta,University of Evansville,Indiana,Missouri Valley Conference,NCAA DI,26 kills and 18 digs,26 remates y 18 defensas,9/11/21,University of Evansville,
Sofía Victoriá,Gurabo,University of Florida,Florida,Southeastern Conference,NCAA DI,24 kills and 10 digs,24 remates y 10 defensas,9/15/21,University of Florida,"La mundialista y ex-alumna del Colegio Notre Dame hizo gala de su destreza ofensiva en su debut en el cuadro inicial de las Gators, que no pudieron imponerse a su archirrival, Florida State University."
Karla Santos,Manatí,Cal State University Los Angeles,California,California Collegiate Athletic Association,NCAA DII,22 kills and 15 digs,22 remates y 15 defensas,8/27/21,Trenton Hernandez / Point Loma,
Naomi Eckert Rivera,Toa Baja,American International College,Massachusetts,Northeast-10 Conference,NCAA DII,51 assists and 12 digs,51 asistencias y 12 defensas,9/10/21,AIC Athletic Communications,
Tammy Reyes Pérez,Bayamón,Valdosta State University,Georgia,Gulf South Conference,NCAA DII,48 assists and 18 digs,48 asistencias y 18 defensas,9/10/21,Valdosta State University Athletics,
Jeshmarie Suárez,Bayamón,Cal State University Los Angeles,California,California Collegiate Athletic Association,NCAA DII,21 digs and 9 assists,21 defensas y 9 asistencias,9/11/21,Nate Bural,
Fabiana de Jesús,Caguas,Berea College,Kentucky,USA South Athletic Conference,NCAA DIII,30 digs and 7 assists,30 defensas y 7 asistencias,9/10/21,Berea College Athletics,
Alanys Cruz Díaz,Humacao,Elms College,Massachusetts,New England Collegiate Conference,NCAA DIII,15 kills and 12 digs,15 remates y 12 defensas,9/12/21,Elms College Blazers,
Kiaraliz Pérez,Naranjito,Miami Dade College,Florida,NJCAA Region VIII,NJCAA DI,28 digs,28 defensas,8/27/21,Miami Dade College,
