Player,Hometown,Institution,State,Conference,Division,Award,Galardón,Award_Date,Announcement,Photo,Notes
Coralys Maldonado Rivera,Camuy,West Virginia University Institute of Technology,West Virginia,River States Conference,NAIA,Attacker of the Week,Atacante de la Semana,9/6/21,http://www.riverstatesconference.com/article/4912.php,James Holloway and Dr. Deb Beutler,
Paola Velázquez,Caguas,Fisher College,Massachusetts,Continental Athletic Conference,NAIA,Setter of the Week,Acomodadora de la Semana,9/13/21,http://www.aiisports.com/article/2392.php,Fisher College Athletics,
Karina Lozada,Bayamón,St. Andrews University,North Carolina,Appalachian Athletic Conference,NAIA,Defensive Player of the Week,Jugadora Defensiva de la Semana,9/13/21,https://www.aacsports.com/sports/wvball/2021-22/releases/20210913lvkmjy,Nicolo Favero,
Ashley Román,Isabela,Coppin State University,Maryland,Mid-Eastern Athletic Conference,NCAA DI,Defensive Specialist of the Week,Jugadora Defensiva de la Semana,9/13/21,https://meacsports.com/news/2021/9/13/meac-announces-weekly-volleyball-honors-presented-by-coca-cola.aspx,Mid-Eastern Athletic Conference,
Alondra Maldonado,Patillas,Delaware State University,Delaware,Mid-Eastern Athletic Conference,NCAA DI,Player of the Week,Jugadora de la Semana,9/13/21,https://meacsports.com/news/2021/9/13/meac-announces-weekly-volleyball-honors-presented-by-coca-cola.aspx,Delaware State University,
Nyah Molina,San Juan,Stetson University,Florida,Atlantic Sun Conference,NCAA DI,Freshman of the Week,Novata de la Semana,9/13/21,https://asunsports.org/sports/wvball/2021-22/releases/20210910fwy0x9,Jason Vorhees,
Sharlissa de Jesús,Guayama,The Citadel,South Carolina,Southern Conference,NCAA DI,Offensive Player of the Week,Jugadora Ofensiva de la Semana,9/13/21,https://soconsports.com/news/2021/9/13/socon-volleyball-players-of-the-week-announced.aspx,Chase Cochran / Samford Athletic,
Rocío Moro,San Juan,University of North Florida,Florida,Atlantic Sun Conference,NCAA DI,Defensive Player of the Week,Jugadora Defensiva de la Semana,9/13/21,https://asunsports.org/sports/wvball/2021-22/releases/20210910fwy0x9,ASUN Photos,
Yarianne González,Manatí,Mercy College,New York,East Coast Conference,NCAA DII,Setter of the Week,Acomodadora de la Semana,9/7/21,https://www.eccsports.org/sports/wvball/2021-22/releases/090721_vb_pow,Mercy College Athletics,
Henielys Ramos,Trujillo Alto,Chestnut Hill College,Pennsylvania,Central Atlantic Collegiate Conference,NCAA DII,Player of the Week,Jugadora de la Semana,9/13/21,https://www.caccathletics.org/sports/wvball/2021-22/releases/913POW,Chestnut Hill College Athletics,
Anixa Rosa Martínez,San Lorenzo,Chowan University,North Carolina,Conference Carolinas,NCAA DII,Player of the Week,Jugadora de la Semana,9/13/21,https://conferencecarolinas.com/news/2021/9/13/anixa-rosa-martinez-of-chowan-and-katie-pressley-of-unc-pembroke-collect-womens-volleyball-weekly-honors.aspx,Chowan University,
Paola Hernández,Bayamón,University of Bridgeport,Connecticut,East Coast Conference,NCAA DII,Rookie of the Week,Novata de la Semana,9/13/21,https://www.eccsports.org/sports/wvball/2021-22/releases/091321_vb_pow,University of Bridgeport,
Idymel Ayala Rivera,Vega Baja,Berea College,Kentucky,USA South Athletic Conference,NCAA DIII,Rookie of the Week,Novata de la Semana,9/6/21,https://www.usasouth.net/general/2021-22/releases/20210906cgimy9,Berea College Athletics,
Valeria Rosa López,Ponce,Salem College,North Carolina,USA South Athletic Conference,NCAA DIII,Defensive Player of the Week,Jugadora Defensiva de la Semana,9/6/21,https://www.usasouth.net/general/2021-22/releases/20210906cgimy9,Salem College Athletics,
Darlenis Medina,Dorado,Palm Beach State College,Florida,NJCAA Region VIII,NJCAA DII,National Defensive Player of the Week,Jugadora Defensiva de la Semana,9/8/21,https://twitter.com/NJCAAVolleyball/status/1435611579932938254,Palm Beach State College,
